Dataset,Big4,Cloud9,Catch22,Big4_Window,Cloud9_Window,Big4_PAA,Cloud9_PAA,Catch22_PAA,9_stat_MulPAA,DTW_I,DTW_D,Weasel Muse,MLSTM-FCN,TapNet,RocketMTS,MrSEQL
ArticularyWordRecognition,,,,,,,,,0.01,0.05,0.4,179.00,1.39,2.98,0.01,8.70
AtrialFibrillation,,,,,,,,,0.62,2.28,0.4,0.25,0.81,0.00,0.13,0.28
BasicMotions,,,,,,,,,0.07,0.03,0.3,0.10,1.03,0.00,0.01,0.26
CharacterTrajectories,,,,,,,,,0.58,,,121.38,,,0.34,23.04
Cricket,,,,,,,,,0.83,7.35,2.51,4.51,1.77,0.08,,16.44
DuckDuckGeese,,,,,,,,,17.17,44.51,6.48,,40.55,0.00,0.77,219.45
ERing,,,,,,,,,1.07,60.49,35.2,0.09,0.85,0.00,0.77,0.16
EigenWorms,,,,,,,,,0.15,0.29,0.17,,135.19,,0.13,
Epilepsy,,,,,,,,,0.14,0.04,0.4,2.71,0.67,0.05,0.03,0.82
EthanolConcentration,,,,,,,,,8.40,11386,2769.3,72.02,2.87,,14.65,31.07
FaceDetection,,,,,,,,,89.80,2339,272.13,514.00,66.12,,5.49,
FingerMovements,,,,,,,,,0.92,0.27,0.1,0.52,2.22,0.01,0.08,4.11
HandMovementDirection,,,,,,,,,4.98,72.46,8.42,28.35,0.93,0.47,0.63,14.34
Handwriting,,,,,,,,,0.48,3.12,1.1,27.24,0.68,0.45,0.11,1.89
Heartbeat,,,,,,,,,0.37,1.17,0.58,287.93,5.70,4.80,0.09,42.97
InsectWingbeat,,,,,,,,,,,,,,,,150.92
JapaneseVowels,,,,,,,,,0.55,,,0.57,,,,0.19
LSST,,,,,,,,,0.07,0.4,0.4,24.10,1.40,0.40,0.03,21.19
Libras,,,,,,,,,1.90,9.13,3.1,0.54,6.68,0.01,0.30,0.24
MotorImagery,,,,,,,,,22.80,2295,418,,15.28,,3.20,992.61
NATOPS,,,,,,,,,0.68,0.23,0.8,8.14,2.20,0.14,0.07,2.85
PEMS-SF,,,,,,,,,1.35,1,1.12,,11.93,0.00,1.41,600.94
PenDigits,,,,,,,,,8.44,1010.28,196.48,0.41,136.50,0.01,1.09,0.94
PhonemeSpectra,,,,,,,,,37.03,156.33,21.33,,11.48,0.00,1.78,1030.10
RacketSports,,,,,,,,,0.16,0.04,0.3,0.31,0.68,0.01,0.02,0.26
SelfRegulationSCP1,,,,,,,,,7.16,,,36.72,1.88,,,20.55
SelfRegulationSCP2,,,,,,,,,1.23,39.5,15.1,45.73,1.95,0.76,0.49,22.99
SpokenArabicDigits,,,,,,,,,1.20,47.57,15.43,,,,0.70,119.29
StandWalkJump,,,,,,,,,0.15,0.57,0.37,5.62,0.62,0.09,0.04,2.16
UWaveGestureLibrary,,,,,,,,,0.30,1.32,1.04,9.59,0.68,,0.14,1.87
Total Time (Min),,,,,,,,,208.62,17478.43,3770.96,1369.83,452.08,10.26,32.51,3330.64
Count,,,,,,,,,29,26,26,23,26,20.00,26,28